id,topic,difficulty,question,answer
1,Algebra,Level 1,"If $x = 2$ and $y = 5$, then what is the value of $\frac{x^4+2y^2}{6}$ ?",We have  \[\frac{x^4 + 2y^2}{6} = \frac{2^4 + 2(5^2)}{6} = \frac{16+2(25)}{6} = \frac{16+50}{6} = \frac{66}{6} = \boxed{11}.\]
2,Algebra,Level 1,"The perimeter of a rectangular garden is 60 feet. If the length of the field is twice the width, what is the area of the field, in square feet?","If the length is $l$ and the width is $w$, then the perimeter is $2l+2w$. We can set up the equations $2l+2w=60 \Rightarrow l+w=30$ and $l=2w$. Now we substitute $l$ in terms of $w$ into the first equation and get $l+w=2w+w=30$, so $w=10$ and $l=2(10)=20$. That means the area of the rectangular garden is $lw=20(10)=\boxed{200}$ square feet."
3,Algebra,Level 1,The function $f(x)$ is defined by $f(x)=x^{2}-x$. What is the value of $f(4)$?,$f(4)=4^2-4=16-4=\boxed{12}$.
4,Algebra,Level 1,The sum of two numbers is $45$. Their difference is $3$. What is the lesser of the two numbers?,"Let $x,y$ be the larger and smaller numbers, respectively. We have $x+y=45$ and $x-y=3$. Thus: $y=\frac{1}{2}((x+y)-(x-y))=\frac{1}{2}(45-3)=\boxed{21}$."
5,Algebra,Level 1,What is the value of $(2x + 5)^2$ when $x = 3$?,We have $(2x+5)^2 = (2\cdot 3 + 5)^2 = 11^2 = \boxed{121}$.
6,Algebra,Level 2,"The sequence of integers in the row of squares and in each of the two columns of squares form three distinct arithmetic sequences. What is the value of $N$?

[asy]
unitsize(0.35inch);
draw((0,0)--(7,0)--(7,1)--(0,1)--cycle);
draw((1,0)--(1,1));
draw((2,0)--(2,1));
draw((3,0)--(3,1));
draw((4,0)--(4,1));
draw((5,0)--(5,1));
draw((6,0)--(6,1));
draw((6,2)--(7,2)--(7,-4)--(6,-4)--cycle);
draw((6,-1)--(7,-1));
draw((6,-2)--(7,-2));
draw((6,-3)--(7,-3));
draw((3,0)--(4,0)--(4,-3)--(3,-3)--cycle);
draw((3,-1)--(4,-1));
draw((3,-2)--(4,-2));
label(""21"",(0.5,0.8),S);
label(""14"",(3.5,-1.2),S);
label(""18"",(3.5,-2.2),S);
label(""$N$"",(6.5,1.8),S);
label(""-17"",(6.5,-3.2),S);
[/asy]","Since $18 - 14 = 4$, the common difference in the first column of squares is 4, so the number above 14 is $14 - 4 = 10$, and the number above 10 is $10 - 4 = 6$.  This is also the fourth number in the row, so the common difference in the row is $(6 - 21)/3 = -5$.

Then the seventh (and last) number in the row is $21 - 5 \cdot 6 = -9$.  In the second column, the common difference is $[(-17) - (-9)]/4 = -2$, so $N = -9 - (-2) = \boxed{-7}$."
7,Algebra,Level 2,"Berengere and her American foreign-exchange student Emily are at a bakery in Paris that accepts both euros and American dollars. They want to buy a cake, but neither of them has enough money. If the cake costs 6 euros and Emily has an American five-dollar bill, how many euros does Berengere need to contribute to the cost of the cake if 1 euro = 1.25 USD?","The easiest way to solve this problem is to convert everything into euros. Emily's five-dollar bill is equivalent to $5\text{ USD} \times \frac{1\text{ euro}}{1.25\text{ USD}}=4\text{ euros}$. Since the girls need 6 euros between them, Berengere must contribute $6-4=\boxed{2 \text{ euros}}$."
8,Algebra,Level 2,Simplify $\sqrt[3]{1+8} \cdot \sqrt[3]{1+\sqrt[3]{8}}$.,"The first cube root becomes $\sqrt[3]{9}$. $\sqrt[3]{8}=2$, so the second cube root becomes $\sqrt[3]{3}$. Multiplying these gives $\sqrt[3]{27} = \boxed{3}$."
9,Algebra,Level 2,Let $f(x)=x^3+3$ and $g(x) = 2x^2 + 2x +1$. What is $g(f(-2))$?,"We note that $f(-2)=(-2)^3+3=-5$, so $g(f(-2))=g(-5)=2\cdot(-5)^2+2\cdot(-5)+1=41.$ Therefore our answer is $\boxed{41}$."
10,Algebra,Level 2,"Let \[f(x) =
\begin{cases}
x/2 &\quad \text{if } x \text{ is even}, \\
3x+1 &\quad \text{if } x \text{ is odd}.
\end{cases}
\]What is $f(f(f(f(1))))$?","Evaluating each value, $f(1) = 3 \cdot 1 + 1 = 4$; $f(f(1)) = f(4) = 4/2 = 2$; $f(f(f(1))) = f(2) = 2/2 = 1$; and finally $f(f(f(f(1)))) = f(1) = \boxed{4}$."
11,Algebra,Level 3,What is the degree of the polynomial $(4 +5x^3 +100 +2\pi x^4 + \sqrt{10}x^4 +9)$?,"This polynomial is not written in standard form.  However, we don't need to write it in standard form, nor do we need to pay attention to the coefficients.  We just look for the exponents on $x$.  We have an $x^4$ term and no other term of higher degree, so $\boxed{4}$ is the degree of the polynomial."
12,Algebra,Level 3,Evaluate $\left\lceil3\left(6-\frac12\right)\right\rceil$.,"Firstly, $3\left(6-\frac12\right)=18-1-\frac12=17-\frac12$.  Because $0\le\frac12<1$, we have $\left\lceil17-\frac12\right\rceil=\boxed{17}$."
